0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,013_C.acrinasus_Thun_123147,0.00559615,0.222408,0.00931644
0123458_C.macrophthalmus_Constance_123458,013_C.acrinasus_Thun_123147,021_C.fatioi_Thun_123669,0.0487615,3.59334e-10,0.0572172
0123458_C.macrophthalmus_Constance_123458,013_C.acrinasus_Thun_123147,022_C.fatioi_Thun_123690,0.0575811,4.81837e-14,0.0696971
0123458_C.macrophthalmus_Constance_123458,013_C.acrinasus_Thun_123147,023_C.fatioi_Thun_123693,0.0507735,1.71195e-11,0.0607979
0123458_C.macrophthalmus_Constance_123458,013_C.acrinasus_Thun_123147,061_C.albellus_Thun_123578,0.0474576,1.02143e-09,0.0559175
0123458_C.macrophthalmus_Constance_123458,013_C.acrinasus_Thun_123147,063_C.albellus_Thun_123845,0.0555795,3.74145e-13,0.0645987
0123458_C.macrophthalmus_Constance_123458,013_C.acrinasus_Thun_123147,064_C.albellus_Thun_123902,0.0493269,2.21331e-10,0.0567028
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,017_C.alpinus_Thun_123232,0.0532327,3.48888e-12,0.0628215
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,021_C.fatioi_Thun_123669,0.0342021,4.63276e-07,0.0396087
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,022_C.fatioi_Thun_123690,0.0331365,1.13462e-06,0.0394824
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,023_C.fatioi_Thun_123693,0.0276318,5.29164e-05,0.0325763
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,058_C.steinmanni_Thun_123277,0.0595086,3.55271e-14,0.0670361
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,059_C.steinmanni_Thun_124020,0.0363578,6.64391e-07,0.0494113
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,061_C.albellus_Thun_123578,0.0260408,0.000714438,0.030229
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,063_C.albellus_Thun_123845,0.0324313,2.60515e-05,0.0371251
0123458_C.macrophthalmus_Constance_123458,014_C.acrinasus_Thun_123203,064_C.albellus_Thun_123902,0.0313251,3.88657e-05,0.0356053
0123470_C.macrophthalmus_Constance_123470,014_C.acrinasus_Thun_123203,012_C.acrinasus_Thun_123125,0.00338118,0.343175,0.00540933
0123470_C.macrophthalmus_Constance_123470,012_C.acrinasus_Thun_123125,021_C.fatioi_Thun_123669,0.0470278,9.54916e-10,0.0562062
0123470_C.macrophthalmus_Constance_123470,012_C.acrinasus_Thun_123125,023_C.fatioi_Thun_123693,0.0538658,7.13518e-12,0.0654031
0123470_C.macrophthalmus_Constance_123470,012_C.acrinasus_Thun_123125,061_C.albellus_Thun_123578,0.0435008,7.8526e-07,0.0518259
0123470_C.macrophthalmus_Constance_123470,012_C.acrinasus_Thun_123125,063_C.albellus_Thun_123845,0.0476612,8.00794e-08,0.0562104
0123470_C.macrophthalmus_Constance_123470,012_C.acrinasus_Thun_123125,064_C.albellus_Thun_123902,0.0420225,1.57907e-06,0.0494045
0123470_C.macrophthalmus_Constance_123470,013_C.acrinasus_Thun_123147,014_C.acrinasus_Thun_123203,0.000785122,0.461686,0.0013676
0123470_C.macrophthalmus_Constance_123470,013_C.acrinasus_Thun_123147,021_C.fatioi_Thun_123669,0.0464111,2.45108e-09,0.0553326
0123470_C.macrophthalmus_Constance_123470,013_C.acrinasus_Thun_123147,023_C.fatioi_Thun_123693,0.0541636,3.64253e-12,0.0656124
0123470_C.macrophthalmus_Constance_123470,013_C.acrinasus_Thun_123147,061_C.albellus_Thun_123578,0.0490486,1.56592e-09,0.0583925
0123470_C.macrophthalmus_Constance_123470,013_C.acrinasus_Thun_123147,063_C.albellus_Thun_123845,0.0514903,2.75227e-10,0.0608382
0123470_C.macrophthalmus_Constance_123470,013_C.acrinasus_Thun_123147,064_C.albellus_Thun_123902,0.0443209,1.25349e-07,0.0519608
0123470_C.macrophthalmus_Constance_123470,014_C.acrinasus_Thun_123203,021_C.fatioi_Thun_123669,0.0322325,2.9785e-06,0.0377418
0123470_C.macrophthalmus_Constance_123470,014_C.acrinasus_Thun_123203,022_C.fatioi_Thun_123690,0.0338851,9.25688e-07,0.0406507
0123470_C.macrophthalmus_Constance_123470,014_C.acrinasus_Thun_123203,023_C.fatioi_Thun_123693,0.0315431,4.58725e-06,0.0373818
0123470_C.macrophthalmus_Constance_123470,014_C.acrinasus_Thun_123203,061_C.albellus_Thun_123578,0.0280714,0.000237514,0.032821
0123470_C.macrophthalmus_Constance_123470,014_C.acrinasus_Thun_123203,063_C.albellus_Thun_123845,0.0287723,0.000190383,0.0332912
0123470_C.macrophthalmus_Constance_123470,014_C.acrinasus_Thun_123203,064_C.albellus_Thun_123902,0.0266313,0.000500656,0.030617
0123_C.wartmanii_Constance_123460,012_C.acrinasus_Thun_123125,014_C.acrinasus_Thun_123203,0.00824066,0.1567,0.0139681
0123_C.wartmanii_Constance_123460,012_C.acrinasus_Thun_123125,021_C.fatioi_Thun_123669,0.0297234,3.59307e-05,0.0368741
0123_C.wartmanii_Constance_123460,012_C.acrinasus_Thun_123125,022_C.fatioi_Thun_123690,0.0350104,5.49546e-06,0.0449246
0123_C.wartmanii_Constance_123460,012_C.acrinasus_Thun_123125,023_C.fatioi_Thun_123693,0.0361966,2.6215e-06,0.0455835
0123_C.wartmanii_Constance_123460,012_C.acrinasus_Thun_123125,061_C.albellus_Thun_123578,0.0321124,0.000129302,0.0393773
0123_C.wartmanii_Constance_123460,012_C.acrinasus_Thun_123125,063_C.albellus_Thun_123845,0.0334992,0.000105595,0.0409306
