Indiv,Spp_thesis,Spp_mod,Lake,fishec_ID,Ecomorph_thesis,ecomorph_mod,standard_length,gill_raker_count,weird,syst_col,lake_col,sex
56,C. steinmanni,C.steinmanni,Thun,123130,Balchen,balchen,234,31,no,green,chartreuse4,f
58,C. steinmanni,C.steinmanni,Thun,123277,Balchen,balchen,218,33,no,green,chartreuse4,m
59,C .steinmanni,C.steinmanni,Thun,124020,Balchen,balchen,289.5,30,no,green,chartreuse4,m
76,C. duplex,C.duplex,Walen,175800,Balchen,balchen,352,24,no,purple,mediumpurple1,f
78,C. duplex,C.duplex,Walen,175805,Balchen,balchen,348,26,no,purple,mediumpurple1,m
79,C. duplex,C.duplex,Walen,175808,Balchen,balchen,365,25,no,purple,mediumpurple1,m
81,C. duplex,C.heglingus,Walen,175816,Balchen,albeli,163,35,no,purple,mediumpurple1,m
82,C. duplex,C.heglingus,Walen,175824,Balchen,albeli,168,31,no,purple,mediumpurple1,m
83,C. duplex,C.heglingus,Walen,175831,Balchen,albeli,162,30,no,purple,mediumpurple1,f
86,C. heglingus,C.duplex,Walen,175863,Albeli,balchen,302,25,no,purple,mediumpurple1,m
87,C. heglingus,C.duplex,Walen,175864,Albeli,balchen,301,23,no,purple,mediumpurple1,f
90,C. heglingus,C.duplex,Walen,175898,Albeli,balchen,292,21,no,purple,mediumpurple1,m
94,C. duplex,C.duplex,Zurich,175411,Balchen,balchen,455,25,no,purple,purple4,f
95,C. duplex,C.duplex,Zurich,175412,Balchen,balchen,454,31,no,purple,purple4,f
96,C. duplex,C.duplex,Zurich,175410,Balchen,balchen,337,26,no,purple,purple4,m
97,C. zuerichensis,C.zuerichensis,Zurich,175401,Felchen,felchen,238,31,yes,purple,purple4,m
98,C. zuerichensis,C.zuerichensis,Zurich,175402,Felchen,felchen,221,32,yes,purple,purple4,m
99,C. zuerichensis,C.zuerichensis,Zurich,175403,Felchen,felchen,250,28,yes,purple,purple4,missing
100,C. heglingus,C.zuerichensis,Zurich,175405,Albeli,felchen,238,32,yes,purple,purple4,m
101,C. heglingus,C.heglingus,Zurich,175407,Albeli,albeli,224,32,yes,purple,purple4,f
102,C. heglingus,C.zuerichensis,Zurich,175408,Albeli,felchen,238,30,yes,purple,purple4,m
903,C. albula,C.albula,Lake Stechlin,Alb06,-,none,missing,missing,no,black,black,missing
904,C. albula,C.albula,Lake Stechlin,Alb10,-,none,missing,missing,no,black,black,missing
906,C. holsatus ,C.holsatus,Drewitzee,GM02A,Balchen,balchen,missing,missing,no,black,black,missing
911,C. holsatus ,C.holsatus,Drewitzee,GM07A,Balchen,balchen,missing,missing,no,black,black,missing
